"oid","product_code","brand_name","product_name"
"1","S10214","Aftershokz","Aftershokz Bluez 2s, Black"
"2","S10215","Aftershokz","Aftershokz Bluez 2s, Neon"
"3","S10216","Aftershokz","Aftershokz Bluez 2s, Red"
"4","S10217","Aftershokz","Aftershokz Bluez 2s, Green Metallic"
"5","S10606","Aftershokz","Aftershokz Trekz Titanium, Ocean Blue"
"6","S10607","Aftershokz","Aftershokz Trekz Titanium, Ivy Green"
"7","S10608","Aftershokz","Aftershokz Trekz Titanium, Slate Grey"
"8","S10822","Aftershokz","Aftershokz Trekz Titanium, Pink"
"9","S11378","Aftershokz","Aftershokz Sportz Titanium with mic, Onyx Black"
"10","S12065","Aftershokz","Aftershokz Trekz Air, Slate Grey"
"11","S12066","Aftershokz","Aftershokz Trekz Air, Midnight Blue"
"12","S12067","Aftershokz","Aftershokz Trekz Air, Forest Green"
"13","S12068","Aftershokz","Aftershokz Trekz Air, Sunset Pink"
"14","S12570","Aftershokz","Aftershokz Trekz Titanium, Red"
"15","S12571","Aftershokz","Aftershokz Trekz Air, Canyon Red"
"16","S12881","Aftershokz","Aftershokz Sportz Titanium with mic, Ocean Blue"
"17","S13237","Aftershokz","Aftershokz Trekz Air, Slate Grey[Demo]"
"18","S13402","Aftershokz","Water Bottles"
"19","S13403","Aftershokz","Light Water Bottles"
"20","S13760","Aftershokz","Sport Belts"
"21","S13761","Aftershokz","Drawstring Bags"
"22","S13816","Aftershokz","Aftershokz Trekz Titanium, Canyon Red"
"23","S13817","Aftershokz","Aftershokz Trekz Titanium, Black"
"24","S13836","Aftershokz","Aftershokz Xtrainerz, Black Diamond"
"25","S13837","Aftershokz","Aftershokz Xtrainerz, Sapphire Blue"
"26","S13838","Aftershokz","Aftershokz Xtrainerz, Ruby Red"
"27","S13839","Aftershokz","Aftershokz Xtrainerz, Aquamarine"
"28","S13840","Aftershokz","Aftershokz Aeropex, Cosmic Black"
"29","S13841","Aftershokz","Aftershokz Aeropex, Blue Eclipse"
"30","S13842","Aftershokz","Aftershokz Aeropex, Solar Red"
"31","S13843","Aftershokz","Aftershokz Aeropex, Lunar Grey"
"32","S13923","Aftershokz","Wrist Wallet, Black"
"33","S13939","Aftershokz","Aftershokz Dry Bag"
"34","S13956","Aftershokz","Wrist Wallet, Blue"
"35","S13957","Aftershokz","Wrist Wallet, Pink"
"36","S13958","Aftershokz","Wrist Wallet, Ivy Green"
"37","S13959","Aftershokz","Wrist Wallet, Navy Blue"
"38","S14668","Aftershokz","Sport Belt, Grey"
"39","S14669","Aftershokz","Canvas Bag, Black"
"40","S14670","Aftershokz","Canvas Bag, Beige"
"41","S14727","Aftershokz","Collapsible Sillicone Portable Bottle"
"42","S14874","Aftershokz","Charging Cable for Shokz OpenRun Pro/OpenRun + Aftershokz Aeropex"
"43","S14875","Aftershokz","Charging Cable for Shokz OpenSwim + Aftershokz Xtrainerz"
"44","S15249","Aftershokz","Aftershokz Openmove, Alpine White"
"45","S15942","Aftershokz","Aftershokz Travel Bag"
"46","S15951","Aftershokz","Aftershokz Openmove, Himalayan Pink"
"47","S15952","Aftershokz","Aftershokz Openmove, Elevation Blue"
"48","S16149","Aftershokz","Aftershokz OpenComm, Black"
"49","S16150","Aftershokz","Aftershokz OpenComm, Light Grey"
